팀 구분,파트 구분,연도,월,주차,평균인원,총 근무시간(h),총 잔업시간(h),인당 평균 근무시간(h),인당 평균 잔업시간(h)
생산1팀,제조,2025,7,0,115,21849.5,3377,189.9956522,29.36521739
생산1팀,제조,2025,8,0,115,19833.5,4096,172.4652174,35.6173913
생산1팀,제조,2025,9,0,115,21677,3443.5,188.4956522,29.94347826
생산1팀,제조,2025,10,0,113,18740.5,4021.5,165.8451327,35.58849558
생산1팀,제조,2025,11,0,111,20841,4694,187.7567568,42.28828829
생산1팀,제조,2025,12,0,112,22576,4991.5,201.5714286,44.56696429
생산2팀,제조,2025,7,0,36,6559,652.5,182.1944444,18.125
생산2팀,제조,2025,8,0,36,5883,792.5,163.4166667,22.01388889
생산2팀,제조,2025,9,0,35,6153,665,175.8,19
생산2팀,제조,2025,10,0,36,5582,1154,155.0555556,32.05555556
생산2팀,제조,2025,11,0,36,6338,963.5,176.0555556,26.76388889
생산2팀,제조,2025,12,0,35,5935,159,169.5714286,4.542857143
생산2팀,충전/성형,2025,7,0,58,10633.5,1079.5,183.3362069,18.61206897
생산2팀,충전/성형,2025,8,0,57,9052.5,936,158.8157895,16.42105263
생산2팀,충전/성형,2025,9,0,58,10072,1202,173.6551724,20.72413793
생산2팀,충전/성형,2025,10,0,56,8393,1164.5,149.875,20.79464286
생산2팀,충전/성형,2025,11,0,56,9155,1105.5,163.4821429,19.74107143
생산2팀,충전/성형,2025,12,0,56,9474.5,1002.5,169.1875,17.90178571
생산3팀,제조,2025,7,0,97,17337,2151.5,178.7319588,22.18041237
생산3팀,제조,2025,8,0,95,13771,1764.5,144.9578947,18.57368421
생산3팀,제조,2025,9,0,91,15970,1079.5,175.4945055,11.86263736
생산3팀,제조,2025,10,0,92,13793,1812,149.923913,19.69565217
생산3팀,제조,2025,11,0,84,13876,1199.5,165.1904762,14.2797619
생산3팀,제조,2025,12,0,91,16807,2668.5,184.6923077,29.32417582
생산3팀,충전/성형,2025,7,0,95,15054,645,158.4631579,6.789473684
생산3팀,충전/성형,2025,8,0,94,12878,658,137,7
생산3팀,충전/성형,2025,9,0,93,15210,909.5,163.5483871,9.779569892
생산3팀,충전/성형,2025,10,0,94,12217,1151,129.9680851,12.24468085
생산3팀,충전/성형,2025,11,0,92,13089,717.5,142.2717391,7.798913043
생산3팀,충전/성형,2025,12,0,93,13719,421.5,147.516129,4.532258065
생산1팀,제조,2026,1,0,111,23360,5414.5,210.4504505,48.77927928
생산1팀,제조,2026,2,0,118,15406.5,3753.5,129.0466102,31.31779661
생산1팀,제조,2026,2,4,118,5513,1086,46.72033898,9.203389831
생산2팀,제조,2026,1,0,36,6049,823,168.0277778,22.86111111
생산2팀,제조,2026,2,0,37,4092.5,871.5,110.6081081,23.55405405
생산2팀,제조,2026,2,4,37,1630,266,44.05405405,7.189189189
생산2팀,충전/성형,2026,1,0,54,9132,868,169.1111111,16.07407407
생산2팀,충전/성형,2026,2,0,54,5644,1288.5,104.5185185,23.86111111
생산2팀,충전/성형,2026,2,4,51,2452.5,536.5,48.08823529,10.51960784
생산3팀,제조,2026,1,0,89,15843,2832,178.011236,31.82022472
생산3팀,제조,2026,2,0,94,10805,2654,114.9468085,28.23404255
생산3팀,제조,2026,2,4,95,3423.5,876,36.03684211,9.221052632
생산3팀,충전/성형,2026,1,0,96,13760,840,143.3333333,8.75
생산3팀,충전/성형,2026,2,0,97,9044.5,1493.5,93.24226804,15.39690722
생산3팀,충전/성형,2026,2,4,96,3016,683.5,31.41666667,7.119791667
생산1팀,제조,2026,3,1,118,5827,1526.5,49.38135593,12.93644068
생산2팀,제조,2026,3,1,38,1443.5,344.5,37.98684211,9.065789474
생산2팀,충전/성형,2026,3,1,51,2099,563,41.15686275,11.03921569
생산3팀,제조,2026,3,1,91,4070,1368.5,44.72527473,15.03846154
생산3팀,충전/성형,2026,3,1,94,3163.5,732,33.65425532,7.787234043
생산1팀,제조,2026,3,2,118,6051,1534,51.27966102,13
생산2팀,제조,2026,3,2,38,1894,467,49.84210526,12.28947368
생산2팀,충전/성형,2026,3,2,51,1983,123,38.88235294,2.411764706
생산3팀,제조,2026,3,2,92,4543,1191.5,49.38043478,12.95108696
생산3팀,충전/성형,2026,3,2,90,3677.5,565.5,40.86111111,6.283333333
생산1팀,제조,2026,3,3,118,4519,1445,38.29661017,12.24576271
생산2팀,제조,2026,3,3,37,1843,470.5,49.81081081,12.71621622
생산2팀,충전/성형,2026,3,3,51,2134.5,322.5,41.85294118,6.323529412
생산3팀,제조,2026,3,3,93,4502.09,1050,48.40956989,11.29032258
생산3팀,충전/성형,2026,3,3,90,4017.61,862,44.64011111,9.577777778
생산1팀,제조,2026,3,4,118,4504,1198.5,38.16949153,10.15677966
생산1팀,제조,2026,4,1,120,5494.5,972.5,45.7875,8.104166667
